Divipola,Poblacion_2034
5615,145704.0
5631,88966.0
5656,16368.0
5664,23409.0
5665,32895.0
5686,38748.0
5697,37801.0
5736,40602.0
5756,38203.0
5761,15949.0
5809,11259.0
5837,133430.0
5842,7211.0
5847,31885.0
5861,12208.0
5887,44102.0
5890,23825.0
5895,25989.0
63001,307886.0
63111,3220.0
63130,75979.0
63401,35010.0
63470,38240.0
63594,31844.0
66001,481768.0
66075,6510.0
66088,25276.0
66170,225540.0
66400,28488.0
66440,17208.0
66594,27890.0
66682,79840.0
68001,614860.0
68051,8678.0
68077,32861.0
68081,214571.0
68092,6241.0
68167,12734.0
68190,35464.0
68229,13227.0
68255,14107.0
68276,336155.0
68307,174465.0
68406,45667.0
68418,15371.0
68500,11038.0
68547,190712.0
68549,5485.0
68572,15450.0
68573,7914.0
68575,35594.0
68615,26924.0
68655,34690.0
68679,63009.0
68745,10706.0
68755,35604.0
68820,7602.0
68855,6379.0
68861,26109.0
68872,8740.0
68895,9925.0
70001,310456.0
70215,70591.0
70221,21190.0
70670,52591.0
70708,61679.0
70713,56256.0
70820,34472.0
70823,23099.0
73001,542046.0
73026,9277.0
73124,19312.0
73168,54452.0
73200,8498.0
73268,74810.0
73275,30135.0
73283,32011.0
73319,34681.0
73347,7657.0
73349,25997.0
73408,18712.0
73411,37886.0
73443,39314.0
73449,38016.0
73504,34690.0
73555,27293.0
73585,23963.0
73671,14882.0
73678,13441.0
73861,13217.0
76001,2069047.8593344043
76020,14825.0
76036,22990.0
76041,18270.0
76109,323360.0
76111,133322.0
76113,26020.0
76122,29542.0
76126,19348.0
76130,93932.0
76147,142902.0
76233,49658.0
76248,57849.0
76275,58399.0
76306,24996.0
76318,35378.0
76364,180917.0
76377,17280.0
76400,34704.0
76403,12475.0
76520,358895.0
76563,49297.0
76606,16487.0
76616,15950.0
76622,37667.0
76670,18081.0
76736,43635.0
76828,19701.0
76834,231962.0
76869,13251.0
76890,16426.0
76892,108774.0
76895,43112.0
8001,1323551.0
8078,69143.0
81001,99393.0
81065,62499.0
81736,64236.0
81794,53406.0
8296,68011.0
8372,23357.0
8421,30955.0
8433,142728.0
85001,191133.0
85010,40528.0
85139,18038.0
85162,19180.0
8520,32082.0
85230,13844.0
85250,40354.0
85263,12681.0
85300,3995.0
85325,8877.0
85410,26381.0
85440,39610.0
8558,20038.0
8560,26463.0
8573,54983.0
86001,39675.89743589744
86320,40478.0
8634,36003.0
8638,103394.0
86568,50776.692307692305
86569,16721.2
86755,6244.0
86757,20997.0
86760,7753.0
8685,33058.0
86865,35593.0
86885,26710.0
8758,423017.8593344044
8832,19132.0
95001,60664.8
99001,22218.0
99773,85539.0
